,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,1000.0,750.062,0.0,0.0,0.0,0.0
1,1125.3355826007646,750.062,0.0,0.0,0.0,0.0
2,1266.3801734674034,750.062,0.0,0.0,0.0,0.0
3,1425.1026703029977,750.062,0.0,0.0,0.0,0.0
4,1603.718743751331,750.062,0.0,0.0,0.0,0.0
5,1804.7217668271703,750.062,0.0,0.0,0.0,0.0
6,2030.9176209047348,750.062,0.0,0.0,0.0,0.0
7,2285.4638641349907,750.062,0.0,0.0,0.0,0.0
8,2571.913809059344,750.062,0.0,0.0,0.0,0.0
9,2894.2661247167516,750.062,0.0,0.0,0.0,0.0
10,3257.020655659783,750.062,0.0,0.0,0.0,0.0
11,3665.241237079626,750.062,0.0,0.0,0.0,0.0
12,4124.626382901352,750.062,0.05950062376254449,0.0581277150345198,0.0,0.0
13,4641.588833612777,750.062,0.2732104511816816,0.1193641855715567,0.0,0.0
14,5223.345074266843,750.062,0.15023128030136962,0.08473473467147233,0.0,0.0
15,5878.0160722749115,750.062,0.5489159987491046,0.1548021537779159,0.0,0.0
16,6614.740641230146,750.062,1.5138810699317549,0.2464916664300636,0.0,0.0
17,7443.803013251689,750.062,3.5071609470915077,0.3591672531156256,0.0,0.0
18,8376.776400682917,750.062,5.108959470757458,0.41448630837502365,0.0,0.0
19,9426.684551178854,750.062,10.688022895596546,0.5747806489388093,0.0,0.0
20,10608.183551394482,750.062,17.415278153327385,0.7040211796953477,0.0,0.0
21,11937.766417144358,750.062,25.433532907051102,0.8173958686624002,0.0,0.0
22,13433.993325988988,750.062,38.87025949838304,0.9749590668466215,0.0,0.0
23,15117.75070615663,750.062,57.09838388522788,1.1343769694516637,0.0,0.0
24,17012.54279852589,750.062,82.31423384469667,1.3124704645994192,0.0,0.0
25,19144.819761699575,750.062,114.22905462205264,1.4823873799872334,0.0,0.0
26,21544.346900318822,750.062,156.26365036163804,1.6680204232681255,0.0,0.0
27,24244.62017082331,750.062,212.85033743213077,1.8727929378163224,0.0,0.0
28,27283.333764867693,750.062,278.42985776327856,2.0586984257420395,0.0,0.0
29,30702.9062975785,750.062,359.97567708133533,2.254061088529168,0.0,0.0
30,34551.072945922184,750.062,458.62680110440164,2.4483306725815797,0.0,0.0
31,38881.55180308085,750.062,573.1363287822339,2.6331669943357823,0.0,0.0
32,43754.7937507418,750.062,715.4113902700585,2.8304528465076944,0.0,0.0
33,49238.82631706742,750.062,882.0737269083929,3.017033222613004,0.0,0.0
34,55410.203300094916,750.062,1077.241336098427,3.2091180129916275,0.0,0.0
35,62355.07341273912,750.062,1299.442070000049,3.3877663527736006,0.0,0.0
36,70170.38286703822,750.062,1554.8192588030865,3.561730955688259,0.0,0.0
37,78965.22868499733,750.062,1852.1817053908633,3.7331634746418394,0.0,0.0
38,88862.38162743408,750.062,2179.612142837768,3.888476787766546,0.0,0.0
39,100000.0,750.062,2554.9052424290153,4.041771971477512,0.0,0.0
